variable	analysis	order	feature_type	variable_type
sample_id	clinical	1	clinical	character
patient_id	clinical	2	clinical	character
pre_post	clinical	3	clinical	binary
pre_post_pfe	clinical	4	clinical	categorical
histology	clinical	5	clinical	categorical
procedure_type	clinical	6	clinical	categorical
dna_assay	clinical	7	clinical	categorical
dna_match_type	clinical	8	clinical	categorical
rna_assay	clinical	9	clinical	categorical
pfs1	clinical	10	clinical	numerical
pfs1_censored	clinical	11	clinical	binary
subtype_pam50	PAM50	12	molecular	categorical
pam50_cor_basal	PAM50	13	molecular	numerical
pam50_cor_her2	PAM50	14	molecular	numerical
pam50_cor_luma	PAM50	15	molecular	numerical
pam50_cor_lumb	PAM50	16	molecular	numerical
pam50_cor_normal	PAM50	17	molecular	numerical
tissue_site	clinical	18	clinical	categorical
tissue_origin	clinical	19	clinical	categorical
tumor_purity_pathologist	clinical	20	clinical	numerical
tumor_purity_tempus	clinical	21	clinical	numerical
tmb	molecular	22	molecular	numerical
tmb_norm	molecular	23	molecular	numerical
cyt_score	molecular	24	molecular	numerical
facets_tumor_purity	FACETS	25	molecular	numerical
hrd_index	molecular	26	molecular	numerical
proliferative_index	molecular	27	molecular	numerical
estimate_stromalscore	ESTIMATE	28	molecular	numerical
estimate_immunescore	ESTIMATE	29	molecular	numerical
estimate_score	ESTIMATE	30	molecular	numerical
estimate_tumor_purity	ESTIMATE	31	molecular	numerical
facets_ploidy	FACETS	32	molecular	numerical
facets_loh	FACETS	33	molecular	numerical
facets_telomeric_ai	FACETS	34	molecular	numerical
facets_lst	FACETS	35	molecular	numerical
mutsig_1_sigma	Mutation signature (SigMA)	37	molecular	numerical
mutsig_2_sigma	Mutation signature (SigMA)	38	molecular	numerical
mutsig_3_sigma	Mutation signature (SigMA)	39	molecular	numerical
mutsig_13_sigma	Mutation signature (SigMA)	40	molecular	numerical
mutsig_sigma_status	Mutation signature (SigMA)	41	molecular	categorical
nmf_factor1_bone_specific	NMF de novo	42	molecular	numerical
nmf_factor2_basal	NMF de novo	43	molecular	numerical
nmf_factor3_ER_expr	NMF de novo	44	molecular	numerical
nmf_factor4_ER_HER2_expr	NMF de novo	45	molecular	numerical
nmf_factor5_lumA	NMF de novo	46	molecular	numerical
nmf_factor6_immune	NMF de novo	47	molecular	numerical
nmf_factor7_liver_specific	NMF de novo	48	molecular	numerical
nmf_factor8_ER_response	NMF de novo	49	molecular	numerical
