variable	coef_time	fval	delta	pval	qval	logp
TNFA_SIGNALING_VIA_NFKB	0.0586684909888483	4.57681511797251	0.0201907086078477	0.033104039926562	0.0486824116567088	1.48011900287834
HYPOXIA	0.0611381795172854	9.40420919845315	0.0619358637718092	0.0023296345620489	0.00529462400465658	2.63271219920266
CHOLESTEROL_HOMEOSTASIS	0.152578726712201	44.081982819528	0.20855003769744	1.11568667256975e-10	1.39460834071218e-09	9.95245775475321
MITOTIC_SPINDLE	-0.00867126944010703	0.194926987292675	-0.0357843128835803	0.659099976513082	0.686562475534461	-0.181048703835838
WNT_BETA_CATENIN_SIGNALING	-0.0406695196670292	3.81199129676389	-0.0921348830829453	0.0516431443908354	0.0717265894317158	-1.286987322757
TGF_BETA_SIGNALING	-0.0403364088482729	3.07845401641493	-0.0690215086230073	0.0802213408323309	0.108407217340988	-1.09571008342622
IL6_JAK_STAT3_SIGNALING	0.0622489014432812	5.15876801091662	0.0342794594099067	0.0236892789907405	0.0382085145011943	1.62544815730628
DNA_REPAIR	0.0873200059191944	20.175651951211	0.0830325825971066	9.13716369927832e-06	3.26327274974226e-05	5.03918859430062
G2M_CHECKPOINT	0.139065854955711	16.8056057784183	0.120476424494718	4.97043823542842e-05	0.000146189359865542	4.30360531854275
APOPTOSIS	0.0670395888452802	15.4589304851369	0.0484751599479582	0.000104382933139609	0.00027469192931476	3.98137050372075
NOTCH_SIGNALING	0.0113045022189747	0.299295390426502	0.00157789498796039	0.584647705879015	0.621965644552144	0.233105750123466
ADIPOGENESIS	0.11929812531307	36.3385374423694	0.171588902939124	4.05727690069325e-09	3.04919371543653e-08	8.39176535159087
ESTROGEN_RESPONSE_EARLY	-0.0283809160962663	1.46724919828322	-0.0305093986480557	0.226549789855025	0.263429988203517	-0.644836336331167
ESTROGEN_RESPONSE_LATE	0.0485744753059953	5.77044266884412	0.065735219268554	0.0167929936196024	0.0299874886064328	1.77487187702548
ANDROGEN_RESPONSE	0.0427465881338207	5.30177835586607	0.054511202086318	0.0218204067316694	0.0374514186088065	1.66113715843726
MYOGENESIS	-0.0148838626082709	0.533510897933861	-0.034451190930993	0.465582185185921	0.506067592593392	-0.332003645676615
