sample_id	ENRS_CERES_ESR1	ENRS_CERES_CDK4	ENRS_CERES_CDK6	ENRS_CERES_CDK2
tempus001_Pre	-2.326057104	-0.650956691	-1.001115274	-1.025210421
tempus002_Post	-1.727449939	-0.470319114	-0.818702549	-1.060162552
tempus003_Post	-1.761790069	-0.463135186	-0.836200795	-1.116177732
tempus004_Post	-1.730607945	-0.427615083	-1.005346325	-1.06384138
tempus005_Pre	-2.577929416	-0.674644529	-0.905170343	-1.043594986
tempus006_Pre	-2.135094492	-0.562184984	-0.823334331	-1.124911397
tempus007_Post	-1.622561123	-0.304845103	-0.703555766	-1.284725506
tempus008_Post	-2.769534261	-0.607733729	-0.920254804	-1.029463789
tempus009_Post	-2.182912379	-0.56017314	-0.964148082	-1.055503321
tempus010_Post	-1.72103042	-0.469807639	-0.691575232	-1.14288938
tempus011_Post	-2.581493765	-0.483273526	-1.123572712	-1.046963308
tempus011_Pre	-2.66592623	-0.596773631	-0.941838056	-1.034636554
tempus012_Pre	-1.896870708	-0.677955884	-0.866075716	-1.031980592
tempus013_Pre	-2.760563347	-0.691983944	-0.902271761	-1.058709457
tempus014_Post	-1.643283539	-0.448354859	-0.864531569	-1.132109908
tempus015_Post	-2.491096145	-0.601782274	-0.926192738	-1.051153301
tempus016_Post	-2.580217664	-0.614373789	-0.797139285	-1.148377411
tempus017_Pre	-2.999047098	-0.595529522	-0.870434247	-1.038323318
tempus018_Pre	-2.096868297	-0.6469563	-0.942707895	-1.028032459
tempus019_Post	-1.944093106	-0.479086489	-0.970696454	-1.083920921
tempus020_Pre	-2.641510316	-0.656476996	-0.948737765	-1.048956471
tempus021_Post	-1.732954848	-0.384883316	-1.075732464	-1.110828344
tempus022_Post	-1.822770861	-0.521126587	-1.001533679	-1.067095375
tempus023_Post	-2.832492915	-0.707256163	-0.762010514	-1.056272821
tempus024_Pre	-1.975173565	-0.405854166	-1.095858243	-1.115988393
tempus025_Pre	-2.1715593	-0.58486653	-0.906031613	-1.060471051
tempus026_Pre	-2.260655428	-0.584560953	-0.855538564	-1.051985099
tempus027_Post	-1.745983776	-0.504315426	-0.880588845	-1.03189847
tempus028_Post	-1.521017156	-0.270962063	-0.877104929	-1.232648063
tempus029_Post	-1.573751198	-0.383650927	-0.995493958	-1.078639442
tempus029_Pre	-2.386631544	-0.515340306	-0.950746414	-1.042222034
tempus030_Post	-1.729271662	-0.383928877	-1.068891205	-1.074201306
tempus031_Post	-1.869768018	-0.519256307	-0.908271019	-1.06157489
tempus032_Post	-1.817574919	-0.552290231	-0.85224712	-1.0789409
tempus033_Pre	-2.123336894	-0.658944769	-0.826871556	-1.060545208
tempus034_Pre	-1.996673251	-0.596504166	-1.005026614	-1.040205221
tempus035_Pre	-2.423173257	-0.54976825	-0.913363805	-1.048701491
tempus036_Pre	-2.043169607	-0.672390763	-0.935575143	-1.052919967
tempus037_Post	-1.710408755	-0.587977873	-0.760893195	-1.114182666
tempus038_Pre	-2.605199854	-0.679718245	-0.93223826	-1.038950402
tempus039_Pre	-1.887232466	-0.603981179	-0.820208067	-1.056017563
tempus040_Pre	-2.542388795	-0.641775019	-0.867131866	-1.050551834
tempus041_Pre	-2.829001413	-0.703966871	-0.872501317	-1.040131025
tempus042_Pre	-2.670811319	-0.719529566	-0.854386563	-1.053772347
tempus043_Pre	-2.652149136	-0.772722198	-0.920835548	-1.062338065
tempus044_Post	-1.883276413	-0.440914141	-0.958501281	-1.191099639
tempus045_Pre	-2.157740702	-0.650433732	-0.894941116	-1.035858022
tempus046_Post	-2.662884884	-0.660097604	-0.82330869	-1.042791365
tempus047_Pre	-1.761903604	-0.529344573	-1.00872097	-1.093215802
tempus048_Post	-1.731777546	-0.469001487	-0.953141143	-1.062121904
tempus049_Post	-1.835117438	-0.719397567	-0.884984899	-1.043923904
tempus050_Pre	-2.791718028	-0.668052503	-0.864728536	-0.991333963
tempus051_Post	-3.16343884	-0.58924722	-0.890256037	-1.077380641
tempus052_Pre	-2.23635921	-0.612187619	-0.936686794	-1.045222037
tempus053_Post	-1.874707529	-0.641961639	-0.841328924	-1.104146631
tempus054_Post	-1.835926642	-0.516243543	-0.773848518	-1.004538824
tempus055_Pre	-1.928685893	-0.53244353	-0.896714838	-1.035633385
tempus056_Post	-2.085629495	-0.519936844	-0.72784479	-1.266255785
tempus057_Pre	-1.960524784	-0.670327116	-0.951506261	-1.049739836
tempus058_Post	-1.594516747	-0.37929332	-0.937895153	-1.085704261
tempus059_Post	-1.869226935	-0.534999127	-0.914776569	-1.039853195
tempus060_Pre	-1.939549233	-0.615039598	-0.835452971	-1.089623117
