graph	trajectory	branch	node	node_order
EPG20	A-B	A	A1	1
EPG20	A-B	A	A2	2
EPG20	A-B	A	A3	3
EPG20	A-B	A	A4	4
EPG20	A-B	A	A5	5
EPG20	A-B	A	A6	6
EPG20	A-B	A	A7	7
EPG20	A-B	A	A8	8
EPG20	A-B	B	B1	9
EPG20	A-B	B	B2	10
EPG20	A-B	B	B3	11
EPG20	A-B	B	B4	12
EPG20	A-B	B	B5	13
EPG20	A-B	B	B6	14
EPG20	A-B	B	B7	15
EPG20	A-C	A	A1	1
EPG20	A-C	A	A2	2
EPG20	A-C	A	A3	3
EPG20	A-C	A	A4	4
EPG20	A-C	A	A5	5
EPG20	A-C	A	A6	6
EPG20	A-C	A	A7	7
EPG20	A-C	A	A8	8
EPG20	A-C	C	C1	10
EPG20	A-C	C	C2	11
EPG20	A-C	C	C3	12
EPG20	A-C	C	C4	13
EPG20	A-C	C	C5	14
EPG20	A-C	C	C6	15
