variable	pre_descr	post_descr	descr
received_palbo	156 (78.0%)	185 (81.5%)	321 (80.2%)
received_abema	48 (24.0%)	47 (20.7%)	87 (21.8%)
received_ribo	24 (12.0%)	24 (10.6%)	44 (11.0%)
letrozole_cdki	83 (41.5%)	79 (34.8%)	152 (38.0%)
fulvestrant_cdki	46 (23.0%)	58 (25.6%)	98 (24.5%)
anastrozole_cdki	16 (8.0%)	19 (8.4%)	32 (8.0%)
exposure_adjuvant	76 (38.0%)	105 (46.3%)	168 (42.0%)
exposure_adjuvant_chemo	46 (23.0%)	61 (26.9%)	100 (25.0%)
exposure_adjuvant_endocrine	57 (28.5%)	87 (38.3%)	132 (33.0%)
exposure_met_before_cdki_chemo	21 (10.5%)	32 (14.1%)	47 (11.8%)
exposure_met_before_cdki_endocrine	55 (27.5%)	61 (26.9%)	107 (26.8%)
exposure_met_before_cdki	76 (38.0%)	97 (42.7%)	157 (39.2%)
Breast	82 (41.0%)	35 (15.4%)	117 (27.4%)
Liver	32 (16.0%)	105 (46.3%)	137 (32.1%)
Lymph node	23 (11.5%)	17 (7.5%)	40 (9.4%)
Others	63 (31.5%)	70 (30.8%)	133 (31.1%)
age_at_pdx	59 (51,66)	55 (45,62)	57 (47,64)
time_biopsy_to_cdki	29 (17,54)	-31 (-99.5,-9.5)	
